,Model,ClockSpeed,BoostClockSpeed,Cores,Threads,Socket,TDP,ReleaseDate
305,7th Gen A9-9420 APU,3.0GHz,Up to 3.6GHz,2.0,0.0,,15W,Q217
306,AMD EPYC 9684X,2.55GHz,Up to 3.7GHz,96.0,192.0,SP5,400W,
307,7th Gen A9-9410 APU,2.9GHz,Up to 3.5GHz,2.0,0.0,,10-25/25W,Q216
308,AMD EPYC 9384X,3.1GHz,Up to 3.9GHz,32.0,64.0,SP5,320W,
309,AMD EPYC 9184X,3.55GHz,Up to 4.2GHz,16.0,32.0,SP5,320W,
310,7th Gen A6-9225 APU,2.6GHz,Up to 3.1GHz,2.0,0.0,,15W,2Q18
311,AMD EPYC 9654P,2.4GHz,Up to 3.7GHz,96.0,192.0,SP5,360W,
312,7th Gen A6-9220 APU,2.5GHz,Up to 2.9GHz,2.0,0.0,,15W,Q217
313,7th Gen A6-9220C APU,1.8GHz,Up to 2.7GHz,2.0,2.0,FT4,6W,
314,AMD EPYC 9654,2.4GHz,Up to 3.7GHz,96.0,192.0,SP5,360W,
315,7th Gen A6-9210 APU,2.4GHz,Up to 2.8GHz,2.0,0.0,,15W,Q216
316,AMD EPYC 9634,2.25GHz,Up to 3.7GHz,84.0,168.0,SP5,290W,
317,7th Gen A4-9125 APU,2.3GHz,Up to 2.6GHz,2.0,0.0,,15W,2Q18
318,7th Gen A4-9120 APU,2.2GHz,Up to 2.5GHz,2.0,0.0,,15W,Q217
319,7th Gen A4-9120C APU,1.6GHz,Up to 2.4GHz,2.0,2.0,FT4,6W,
320,7th Gen AMD PRO A12-9800 APU,3.8GHz,Up to 4.2GHz,4.0,0.0,AM4,65W,10/03/2016
321,7th Gen AMD PRO A12-9800E APU,3.1GHz,Up to 3.8GHz,4.0,0.0,AM4,35W,10/03/2016
322,7th Gen AMD PRO A10-9700 APU,3.5GHz,Up to 3.8GHz,4.0,0.0,AM4,65W,10/03/2016
323,7th Gen AMD PRO A10-9700E APU,3.0GHz,Up to 3.5GHz,4.0,0.0,AM4,35W,10/03/2016
324,7th Gen AMD PRO A8-9600 APU,3.1GHz,Up to 3.4GHz,4.0,0.0,AM4,65W,10/03/2016
325,7th Gen AMD PRO A6-9500 APU,3.5GHz,Up to 3.8GHz,2.0,0.0,AM4,65W,10/03/2016
326,7th Gen AMD PRO A6-9500E APU,3.0GHz,Up to 3.4GHz,2.0,0.0,AM4,35W,10/03/2016
327,7th Gen AMD PRO A12-9830B APU,3.0GHz,Up to 3.7GHz,4.0,0.0,FP4,35W,10/24/2016
328,7th Gen AMD PRO A12-9800B APU,2.7GHz,Up to 3.6GHz,4.0,0.0,FP4,15W,10/24/2016
